got	expected	context	category
cassante	K'Sante	cassante is flanking top side	severe_mishear
casante	K'Sante	casante top side	severe_mishear
chen	Shen	can chen tp to bot after the top wave	short_word
devin	they haven't	devin pulled	word_fusion
ling's one	lane's won	oh nice. ling's won	severe_mishear
Thresh	there's	he took plant. Thresh no plants	false_positive
aura	Aurora	look on aura	severe_mishear
niko	Neeko	i'm going to niko, i think	severe_mishear
flush	Flash	i have flush	severe_mishear
ani	Annie	so ani can cook	short_word
jack's	Jax	i'll match jack's	short_word
dp	tp	i'll match jack's dp	short_word
rookong	Wukong	rookong is really strong	severe_mishear
nico's	Neeko's	yeah, nico's coming	severe_mishear
tryndall's	Trundle's	tryndall's going to bot right now
temple's	tempo's	Make sure temple's good for Drake
pat	path	I'll pat top
vote	have ult in	I vote 20. I vote 5
drift	rift	I can start drift. I'm gonna start drift no matter what here
devon	they haven't	devon pulled
gax	Jax	does gax have tp?
HMC is loose	my champ's useless	it's hard to retake even if i'm there. yeah, HMC is loose
bombs	comms	please keep up bombs
piles	prios	we're down three piles
top watch	stopwatch	this guy has top watch keep him in
keep him in	keep in mind	this guy has top watch, keep him in
i have my	i'm going	i have my bot now
asuna's	ezreal just	asuna's E top
azrael	ezreal	Azrael flash is same as Annie
height	fight	he flashed like there on this height there
shrunked	chunked	i'm scared of getting shrunked as well
tidal	Trundle	tidal here
2-a-minute	2-man it	they can't 2-a-minute
try not to flash for this order	trundle no flash for this elder	try not to flash for this order
grunts	grubs	we have grunts
